Division;Club;City/Area;State;Stadium;Capacity;Coordinates;First season;Head Coach
East;Buffalo Bills;Orchard Park;NY;Ralph Wilson Stadium;71,857;42.774°N 78.787°W;1960 (AFL), 1970 (NFL);Rex Ryan
East;Miami Dolphins;Miami Gardens;FL;Sun Life Stadium;65,326;25.958056°N 80.238889°W;1966 (AFL), 1970 (NFL);Dan Campbell (interim)
East;New England Patriots;Foxborough;MA;Gillette Stadium;68,756;42.090944°N 71.264344°W;1960 (AFL), 1970 (NFL);Bill Belichick
East;New York Jets;East Rutherford;NJ;MetLife Stadium[B];82,566;40.813611°N 74.074444°W;1960 (AFL), 1970 (NFL);Todd Bowles
North;Baltimore Ravens;Baltimore;MD;M&T Bank Stadium;71,008;39.277881°N 76.622639°W;1996[C];John Harbaugh
North;Cincinnati Bengals;Cincinnati;OH;Paul Brown Stadium;65,535;39.095444°N 84.516039°W;1968 (AFL), 1970 (NFL);Marvin Lewis
North;Cleveland Browns;Cleveland;OH;FirstEnergy Stadium;67,407;41.506111°N 81.699444°W;1946 (AAFC), 1950 (NFL)[C];Mike Pettine
North;Pittsburgh Steelers;Pittsburgh;PA;Heinz Field;65,500;40.446667°N 80.015833°W;1933;Mike Tomlin
South;Houston Texans;Houston;TX;NRG Stadium;71,054;29.684722°N 95.410833°W;2002;Bill O'Brien
South;Indianapolis Colts*;Indianapolis;IN;Lucas Oil Stadium;62,421;39.760056°N 86.163806°W;1953;Chuck Pagano
South;Jacksonville Jaguars;Jacksonville;FL;EverBank Field[D];67,246;30.323889°N 81.6375°W;1995;Gus Bradley
South;Tennessee Titans*;Nashville;TN;Nissan Stadium;69,143;36.166389°N 86.771389°W;1960 (AFL), 1970 (NFL);Ken Whisenhunt
West;Denver Broncos;Denver;CO;Sports Authority Field at Mile High;76,125;39.743889°N 105.02°W;1960 (AFL), 1970 (NFL);Gary Kubiak
West;Kansas City Chiefs*;Kansas City;MO;Arrowhead Stadium;76,416;39.048889°N 94.483889°W;1960 (AFL), 1970 (NFL);Andy Reid
West;Oakland Raiders*;Oakland;CA;O.co Coliseum;56,057;37.751667°N 122.200556°W;1960 (AFL), 1970 (NFL);Jack Del Rio
West;San Diego Chargers*;San Diego;CA;Qualcomm Stadium;70,561;32.783056°N 117.119444°W;1960 (AFL), 1970 (NFL);Mike McCoy
East;Dallas Cowboys;Arlington;TX;AT&T Stadium;85,000;32.747778°N 97.092778°W;1960;Jason Garrett
East;New York Giants;East Rutherford;NJ;MetLife Stadium[B];82,566;40.813611°N 74.074444°W;1925;Tom Coughlin
East;Philadelphia Eagles;Philadelphia;PA;Lincoln Financial Field;69,176;39.900833°N 75.1675°W;1933;Chip Kelly
East;Washington Redskins*;Landover;MD;FedExField;79,000;38.907778°N 76.864444°W;1932;Jay Gruden
North;Chicago Bears*†;Chicago;IL;Soldier Field;61,500;41.8625°N 87.616667°W;1920;John Fox
North;Detroit Lions*;Detroit;MI;Ford Field;65,000;42.34°N 83.045556°W;1930;Jim Caldwell
North;Green Bay Packers;Green Bay;WI;Lambeau Field;80,735;44.501°N 88.062°W;1921;Mike McCarthy
North;Minnesota Vikings;Minneapolis;MN;TCF Bank Stadium[E];52,525;44.976°N 93.225°W;1961;Mike Zimmer
South;Atlanta Falcons;Atlanta;GA;Georgia Dome;74,228;33.7575°N 84.400833°W;1966;Dan Quinn
South;Carolina Panthers;Charlotte;NC;Bank of America Stadium;74,455;35.225833°N 80.852778°W;1995;Ron Rivera
South;New Orleans Saints;New Orleans;LA;Mercedes-Benz Superdome;73,208;29.950833°N 90.081111°W;1967;Sean Payton
South;Tampa Bay Buccaneers;Tampa;FL;Raymond James Stadium;65,890;27.975833°N 82.503333°W;1976;Lovie Smith
West;Arizona Cardinals*†;Glendale;AZ;University of Phoenix Stadium;63,400;33.5275°N 112.2625°W;1920;Bruce Arians
West;St. Louis Rams*;St. Louis;MO;Edward Jones Dome;66,000;38.632778°N 90.188611°W;1937;Jeff Fisher
West;San Francisco 49ers;Santa Clara;CA;Levi's Stadium;68,500;37.403°N 121.97°W;1946 (AAFC), 1950 (NFL);Jim Tomsula
West;Seattle Seahawks;Seattle;WA;CenturyLink Field;67,000;47.5952°N 122.3316°W;1976;Pete Carroll
