Conference;Division;Team;City/Area;Arena;Founded;Joined;General Manager;Head Coach
Eastern Conference;Atlantic;Boston Bruins;Boston, MA;TD Garden;1924;1924;Don Sweeney;Claude Julien
Eastern Conference;Atlantic;Buffalo Sabres;Buffalo, NY;First Niagara Center;1970;1970;Tim Murray;Dan Bylsma
Eastern Conference;Atlantic;Detroit Red Wings;Detroit, MI;Joe Louis Arena;1926;1926;Ken Holland;Jeff Blashill
Eastern Conference;Atlantic;Florida Panthers;Sunrise, FL;BB&T Center;1993;1993;Dale Tallon;Gerard Gallant
Eastern Conference;Atlantic;Montreal Canadiens;Montreal, QC;Bell Centre;1909;1917;Marc Bergevin;Michel Therrien
Eastern Conference;Atlantic;Ottawa Senators;Ottawa, ON;Canadian Tire Centre;1992;1992;Bryan Murray;Dave Cameron
Eastern Conference;Atlantic;Tampa Bay Lightning;Tampa, FL;Amalie Arena;1992;1992;Steve Yzerman;Jon Cooper
Eastern Conference;Atlantic;Toronto Maple Leafs;Toronto, ON;Air Canada Centre;1917;1917;Lou Lamoriello;Mike Babcock
Eastern Conference;Metropolitan;Carolina Hurricanes;Raleigh, NC;PNC Arena;1972;1979*;Ron Francis;Bill Peters
Eastern Conference;Metropolitan;Columbus Blue Jackets;Columbus, OH;Nationwide Arena;2000;2000;Jarmo Kekalainen;John Tortorella
Eastern Conference;Metropolitan;New Jersey Devils;Newark, NJ;Prudential Center;1974*;1974;Ray Shero;John Hynes
Eastern Conference;Metropolitan;New York Islanders;New York, NY;Barclays Center;1972;1972;Garth Snow;Jack Capuano
Eastern Conference;Metropolitan;New York Rangers;New York, NY;Madison Square Garden;1926;1926;Jeff Gorton;Alain Vigneault
Eastern Conference;Metropolitan;Philadelphia Flyers;Philadelphia, PA;Wells Fargo Center;1967;1967;Ron Hextall;Dave Hakstol
Eastern Conference;Metropolitan;Pittsburgh Penguins;Pittsburgh, PA;Consol Energy Center;1967;1967;Jim Rutherford;Mike Johnston
Eastern Conference;Metropolitan;Washington Capitals;Washington, D.C.;Verizon Center;1974;1974;Brian MacLellan;Barry Trotz
Western Conference;Pacific;Anaheim Ducks;Anaheim, CA;Honda Center;1993;1993;Bob Murray;Bruce Boudreau
Western Conference;Pacific;Arizona Coyotes;Glendale, AZ;Gila River Arena;1972;1979*;Don Maloney;Dave Tippett
Western Conference;Pacific;Calgary Flames;Calgary, AB;Scotiabank Saddledome;1972*;1972;Brad Treliving;Bob Hartley
Western Conference;Pacific;Edmonton Oilers;Edmonton, AB;Rexall Place;1972;1979;Peter Chiarelli;Todd McLellan
Western Conference;Pacific;Los Angeles Kings;Los Angeles, CA;Staples Center;1967;1967;Dean Lombardi;Darryl Sutter
Western Conference;Pacific;San Jose Sharks;San Jose, CA;SAP Center at San Jose;1991;1991;Doug Wilson;Peter DeBoer
Western Conference;Pacific;Vancouver Canucks;Vancouver, BC;Rogers Arena;1945;1970;Jim Benning;Willie Desjardins
Western Conference;Central;Chicago Blackhawks;Chicago, IL;United Center;1926;1926;Stan Bowman;Joel Quenneville
Western Conference;Central;Colorado Avalanche;Denver, CO;Pepsi Center;1972;1979*;Joe Sakic;Patrick Roy
Western Conference;Central;Dallas Stars;Dallas, TX;American Airlines Center;1967*;1967;Jim Nill;Lindy Ruff
Western Conference;Central;Minnesota Wild;St. Paul, MN;Xcel Energy Center;2000;2000;Chuck Fletcher;Mike Yeo
Western Conference;Central;Nashville Predators;Nashville, TN;Bridgestone Arena;1998;1998;David Poile;Peter Laviolette
Western Conference;Central;St. Louis Blues;St. Louis, MO;Scottrade Center;1967;1967;Doug Armstrong;Ken Hitchcock
Western Conference;Central;Winnipeg Jets;Winnipeg, MB;MTS Centre;1999*;1999;Kevin Cheveldayoff;Paul Maurice
